Latitude,Longitude,AADT
33.80392,-84.280276,100
33.7821,-84.3172,1630
33.779816,-84.314784,140
33.795004,-84.330746,850
33.793638,-84.340484,1770
33.8169,-84.323419,440
33.811952,-84.342198,290
33.835691,-84.324954,3100
33.818929,-84.3076,120
33.842378,-84.297433,820
33.840471,-84.308152,110
33.841427,-84.270144,320
33.860642,-84.274828,1300
33.880155,-84.270815,3150
33.852707,-84.307112,260
33.833587,-84.346825,980
33.860813,-84.336697,240
33.856807,-84.327597,90
33.869701,-84.317796,880
33.884404,-84.337972,1310
33.8684,-84.3469,200
33.866764,-84.324475,290
33.864353,-84.25855,190
33.843293,-84.296581,90
33.847217,-84.261507,120
33.862785,-84.199705,300
33.829647,-84.271419,120
33.755213,-84.242103,70
33.716825,-84.222504,50
33.719213,-84.258054,510
33.727392,-84.341019,100
33.695004,-84.245576,550
33.7293,-84.20711,540
33.688397,-84.220134,230
33.691133,-84.30754,150
33.716927,-84.294246,50
33.72235,-84.223246,60
33.68603,-84.21709,500
33.705431,-84.247054,460
33.697917,-84.244278,70
33.721812,-84.208136,80
33.719163,-84.205832,110
33.772782,-84.233772,4040
33.803406,-84.221505,160
33.815425,-84.201496,270
33.834881,-84.229146,300
33.826014,-84.212043,260
33.868698,-84.244686,60
33.873165,-84.224627,410
33.79067,-84.196853,100
33.880567,-84.236036,40
33.757201,-84.210442,110
33.67686,-84.205788,160
33.683244,-84.209365,40
33.800469,-84.277778,750
33.748521,-84.192603,160
33.803565,-84.197195,270
33.693918,-84.344183,260
33.752671,-84.193413,150
33.710348,-84.208069,310
33.814407,-84.225009,50
33.877634,-84.223083,240
33.85789,-84.25713,320
33.863347,-84.247552,120
33.756615,-84.191131,210
33.782186,-84.211887,80
33.784416,-84.213168,260
33.711853,-84.279587,4710
33.681502,-84.255707,150
33.706422,-84.327451,6300
33.771746,-84.271594,200
33.776481,-84.274349,210
33.794071,-84.208481,20
33.765007,-84.301227,690
33.767056,-84.289703,390
33.780785,-84.280768,150
33.779737,-84.307056,310
33.769135,-84.304921,340
33.787874,-84.301244,260
33.804614,-84.233518,80
33.768755,-84.33185,180
33.768363,-84.339353,1180
33.750044,-84.346449,150
33.752749,-84.318685,130
33.734501,-84.33751,160
33.736732,-84.344736,510
33.746682,-84.339717,150
33.73677,-84.246246,1060
33.721206,-84.295909,3810
33.72255,-84.298174,210
33.750656,-84.232376,2510
33.761493,-84.239603,220
33.780023,-84.263564,160
33.833495,-84.255262,1070
33.789417,-84.327314,4440
33.859418,-84.300194,370
33.843036,-84.32293,11000
33.855747,-84.322144,1050
33.851565,-84.323272,810
33.80468,-84.276876,2950
33.685012,-84.253979,3000
33.864456,-84.289015,3690
33.86477,-84.288656,2020
33.88597,-84.25227,41800
33.67288,-84.33253,16500
33.67564,-84.32649,29100
33.81839,-84.2477,40000
33.88679,-84.25211,45300
33.81317,-84.2559,18500
33.830697,-84.338053,20700
33.832732,-84.332667,8310
33.839811,-84.315921,16800
33.840666,-84.310211,10400
33.862362,-84.290826,6610
33.865629,-84.287114,8450
33.876503,-84.27432,8410
33.879277,-84.271908,12100
33.88681,-84.266108,30100
33.761924,-84.348993,2360
33.762036,-84.349003,1730
33.886562,-84.253443,12200
33.884464,-84.251643,6570
33.851977,-84.246101,4160
33.843889,-84.247078,11300
33.847295,-84.246565,8280
33.819688,-84.251377,6400
33.829382,-84.251927,6960
33.813009,-84.252464,8070
33.819735,-84.251028,18100
33.802005,-84.249515,5140
33.805381,-84.250127,6630
33.776966,-84.238561,10400
33.779283,-84.241882,12100
33.765799,-84.232083,410
33.751584,-84.231164,7940
33.752915,-84.231226,12100
33.736086,-84.230347,9820
33.737574,-84.230192,5560
