Station ID,Functional Class,Latitude,Longitude,Year,AADT,Statistics type,Single-Unit Truck AADT,Combo-Unit Truck AADT,% Peak SU Trucks,% Peak CU Trucks,K-Factor,D-Factor,Future AADT,Station Type
"089-r149",1U : Urban Principal Arterial - Interstate,33.682325,-84.311735,2023,12600,Estimated,,,,,0.1181,1,19200,Short Term
"089-r150",1U : Urban Principal Arterial - Interstate,33.684659,-84.308627,2023,5080,Estimated,,,,,0.076,1,6400,Short Term
"089-r151",1U : Urban Principal Arterial - Interstate,33.669120,-84.336294,2023,12000,Actual,,,,,0.1064,1,19300,Short Term
"089-r152",1U : Urban Principal Arterial - Interstate,33.670337,-84.333877,2023,5680,Estimated,568,1160,0.571,0.589,0.0703,1,7160,Short Term
"089-r154",1U : Urban Principal Arterial - Interstate,33.672666,-84.325343,2023,31300,Actual,,,,,0.0833,1,49800,Short Term
"089-r155",1U : Urban Principal Arterial - Interstate,33.666203,-84.343697,2023,13600,Estimated,,,,,0.0793,1,18300,Short Term
"089-r174",1U : Urban Principal Arterial - Interstate,33.670825,-84.329679,2023,19700,Estimated,,,,,0.0919,1,34300,Short Term
"089-r201",1U : Urban Principal Arterial - Interstate,33.745184,-84.348458,2023,8540,Estimated,,,,,0.081,1,10800,Short Term
"089-r202",1U : Urban Principal Arterial - Interstate,33.745269,-84.347073,2023,6530,Estimated,,,,,0.0816,1,8230,Short Term
"089-r203",1U : Urban Principal Arterial - Interstate,33.744920,-84.336482,2023,9380,Estimated,,,,,0.0692,1,11800,Short Term
"089-r205",1U : Urban Principal Arterial - Interstate,33.741173,-84.330239,2023,7130,Estimated,,,,,0.1062,1,9810,Short Term
"089-r206",1U : Urban Principal Arterial - Interstate,33.739416,-84.328833,2023,3440,Estimated,,,,,0.108,1,4330,Short Term
"089-r209",1U : Urban Principal Arterial - Interstate,33.728526,-84.323913,2023,4500,Estimated,,,,,0.086,1,5860,Short Term
"089-r213",1U : Urban Principal Arterial - Interstate,33.716656,-84.312632,2023,7080,Estimated,,,,,0.0957,1,8920,Short Term
"089-r214",1U : Urban Principal Arterial - Interstate,33.714870,-84.302947,2023,6760,Actual,,,,,0.101,1,8520,Short Term
"089-r215",1U : Urban Principal Arterial - Interstate,33.712874,-84.273946,2023,9790,Estimated,,,,,0.0826,1,12300,Short Term
"089-r216",1U : Urban Principal Arterial - Interstate,33.713445,-84.271108,2023,8500,Estimated,,,,,0.0891,1,10700,Short Term
